frame,timestamp,object_type,object_id,vehicle_type,plate_number,ocr_confidence,authorization,face_detected
161,6.71,person,19,,,,UNAUTHORIZED,False
161,6.71,vehicle,2,car,JK02DA7007,0.923,,
162,6.75,person,1,,,,AUTHORIZED,True
162,6.75,vehicle,2,car,JK02DA7007,0.923,,
163,6.79,person,1,,,,AUTHORIZED,True
163,6.79,vehicle,2,car,JK02DA7007,0.923,,
164,6.83,person,1,,,,AUTHORIZED,True
164,6.83,vehicle,2,car,JK02DA7007,0.923,,
165,6.88,person,1,,,,AUTHORIZED,False
165,6.88,vehicle,2,car,JK02DA7007,0.923,,
166,6.92,person,1,,,,AUTHORIZED,False
166,6.92,vehicle,2,car,JK02DA7007,0.923,,
167,6.96,person,1,,,,AUTHORIZED,False
167,6.96,vehicle,2,car,JK02DA7007,0.923,,
167,6.96,vehicle,25,car,,0.0,,
168,7.0,person,1,,,,AUTHORIZED,False
168,7.0,vehicle,2,car,JK02DA7007,0.923,,
168,7.0,vehicle,25,car,AUIHOF,0.45,,
169,7.04,person,1,,,,AUTHORIZED,False
169,7.04,vehicle,2,car,JK02DA7007,0.923,,
169,7.04,vehicle,25,car,AUIHOF,0.45,,
170,7.08,person,1,,,,AUTHORIZED,False
170,7.08,vehicle,2,car,JK02DA7007,0.923,,
170,7.08,vehicle,25,car,AUIHOF,0.45,,
171,7.12,person,1,,,,AUTHORIZED,False
171,7.12,vehicle,2,car,JK02DA7007,0.923,,
172,7.17,person,1,,,,AUTHORIZED,False
172,7.17,vehicle,2,car,JK02DA7007,0.923,,
173,7.21,person,1,,,,AUTHORIZED,False
173,7.21,vehicle,2,car,JK02DA7007,0.923,,
173,7.21,vehicle,25,car,AUIHOF,0.45,,
174,7.25,person,1,,,,AUTHORIZED,False
174,7.25,vehicle,2,car,JK02DA7007,0.923,,
174,7.25,vehicle,25,car,AUIHOF,0.45,,
175,7.29,person,1,,,,AUTHORIZED,True
175,7.29,vehicle,2,car,JK02DA7007,0.923,,
175,7.29,vehicle,25,car,AUIHOF,0.45,,
176,7.33,person,1,,,,AUTHORIZED,False
176,7.33,vehicle,2,car,JK02DA7007,0.923,,
176,7.33,vehicle,25,car,AUIHOF,0.45,,
177,7.38,person,1,,,,AUTHORIZED,False
177,7.38,vehicle,2,car,JK02DA7007,0.923,,
177,7.38,vehicle,25,car,AUIHOF,0.45,,
178,7.42,person,1,,,,AUTHORIZED,False
178,7.42,vehicle,2,car,JK02DA7007,0.923,,
178,7.42,vehicle,25,car,AUIHOF,0.45,,
179,7.46,person,1,,,,AUTHORIZED,False
179,7.46,vehicle,25,car,AUIHOF,0.45,,
180,7.5,person,1,,,,AUTHORIZED,False
180,7.5,vehicle,25,car,AUIHOF,0.45,,
180,7.5,vehicle,27,car,,0.0,,
180,7.5,vehicle,2,car,JK02DA7007,0.923,,
181,7.54,person,1,,,,AUTHORIZED,True
181,7.54,vehicle,25,car,AUIHOF,0.45,,
181,7.54,vehicle,27,car,,0.0,,
181,7.54,vehicle,2,car,JK02DA7007,0.923,,
182,7.58,person,1,,,,AUTHORIZED,False
182,7.58,vehicle,25,car,AUIHOF,0.45,,
182,7.58,vehicle,2,car,JK02DA7007,0.923,,
183,7.62,person,1,,,,AUTHORIZED,True
183,7.62,vehicle,25,car,AUIHOF,0.45,,
184,7.67,person,1,,,,AUTHORIZED,True
184,7.67,vehicle,25,car,AUIHOF,0.45,,
185,7.71,person,1,,,,AUTHORIZED,True
185,7.71,vehicle,25,car,AUIHOF,0.45,,
185,7.71,vehicle,2,car,JK02DA7007,0.923,,
186,7.75,person,1,,,,AUTHORIZED,False
186,7.75,vehicle,2,car,JK02DA7007,0.923,,
187,7.79,person,1,,,,AUTHORIZED,False
187,7.79,vehicle,25,car,AUIHOF,0.45,,
188,7.83,person,1,,,,AUTHORIZED,False
188,7.83,vehicle,25,car,AUIHOF,0.45,,
189,7.88,person,1,,,,AUTHORIZED,False
189,7.88,vehicle,25,car,AUIHOF,0.45,,
190,7.92,person,1,,,,AUTHORIZED,False
190,7.92,vehicle,25,car,AUIHOF,0.45,,
191,7.96,person,1,,,,AUTHORIZED,False
191,7.96,vehicle,25,car,AUIHOF,0.45,,
192,8.0,person,1,,,,AUTHORIZED,False
192,8.0,vehicle,25,car,AUIHOF,0.45,,
193,8.04,person,1,,,,AUTHORIZED,False
193,8.04,vehicle,25,car,AUIHOF,0.45,,
194,8.08,person,1,,,,AUTHORIZED,False
194,8.08,vehicle,25,car,AUIHOF,0.45,,
195,8.12,person,1,,,,AUTHORIZED,True
195,8.12,vehicle,25,car,AUIHOF,0.45,,
196,8.17,person,1,,,,AUTHORIZED,True
196,8.17,vehicle,25,car,AUIHOF,0.45,,
197,8.21,person,1,,,,AUTHORIZED,False
197,8.21,vehicle,25,car,AUIHOF,0.45,,
198,8.25,person,1,,,,AUTHORIZED,False
198,8.25,vehicle,25,car,AUIHOF,0.45,,
199,8.29,person,1,,,,AUTHORIZED,False
199,8.29,vehicle,25,car,AUIHOF,0.45,,
200,8.33,person,1,,,,AUTHORIZED,False
200,8.33,vehicle,25,car,AUIHOF,0.45,,
201,8.38,person,1,,,,AUTHORIZED,False
201,8.38,vehicle,25,car,AUIHOF,0.45,,
201,8.38,person,33,,,,UNAUTHORIZED,False
202,8.42,person,1,,,,AUTHORIZED,False
202,8.42,vehicle,25,car,AUIHOF,0.45,,
202,8.42,person,33,,,,UNAUTHORIZED,False
203,8.46,person,1,,,,AUTHORIZED,False
203,8.46,vehicle,25,car,AUIHOF,0.45,,
203,8.46,person,33,,,,UNAUTHORIZED,False
204,8.5,person,1,,,,AUTHORIZED,False
204,8.5,vehicle,25,car,JK02047007,0.765,,
204,8.5,person,33,,,,UNAUTHORIZED,False
205,8.54,person,1,,,,AUTHORIZED,False
205,8.54,vehicle,25,car,JK02047007,0.765,,
205,8.54,person,33,,,,UNAUTHORIZED,False
206,8.58,person,1,,,,AUTHORIZED,False
206,8.58,vehicle,25,car,JK02047007,0.765,,
207,8.62,person,1,,,,AUTHORIZED,False
207,8.62,vehicle,25,car,JK02047007,0.765,,
208,8.67,person,1,,,,AUTHORIZED,False
208,8.67,vehicle,25,car,JK02047007,0.765,,
209,8.71,person,1,,,,AUTHORIZED,False
209,8.71,vehicle,25,car,JK02047007,0.765,,
210,8.75,person,1,,,,AUTHORIZED,False
210,8.75,vehicle,25,car,JK02047007,0.765,,
211,8.79,person,1,,,,AUTHORIZED,False
211,8.79,vehicle,25,car,JK02047007,0.765,,
212,8.83,person,1,,,,AUTHORIZED,True
212,8.83,vehicle,25,car,JK02047007,0.765,,
213,8.88,person,1,,,,AUTHORIZED,False
213,8.88,vehicle,25,car,JK02047007,0.765,,
214,8.92,person,1,,,,AUTHORIZED,False
214,8.92,vehicle,25,car,JK02047007,0.765,,
215,8.96,person,1,,,,AUTHORIZED,False
215,8.96,vehicle,25,car,JK02047007,0.765,,
216,9.0,person,1,,,,AUTHORIZED,False
216,9.0,vehicle,25,car,JK02047007,0.765,,
217,9.04,person,1,,,,AUTHORIZED,False
217,9.04,vehicle,25,car,JK02047007,0.765,,
218,9.08,person,1,,,,AUTHORIZED,False
218,9.08,vehicle,25,car,JK02047007,0.765,,
219,9.12,person,1,,,,AUTHORIZED,False
219,9.12,vehicle,25,car,JK02047007,0.765,,
220,9.17,person,1,,,,AUTHORIZED,False
220,9.17,vehicle,25,car,JK02047007,0.765,,
221,9.21,person,1,,,,AUTHORIZED,False
221,9.21,vehicle,25,car,JK02047007,0.765,,
222,9.25,person,1,,,,AUTHORIZED,False
222,9.25,vehicle,25,car,JK02047007,0.765,,
222,9.25,person,33,,,,UNAUTHORIZED,True
223,9.29,person,1,,,,AUTHORIZED,False
223,9.29,vehicle,25,car,JK02047007,0.765,,
223,9.29,person,33,,,,UNAUTHORIZED,True
224,9.33,person,1,,,,AUTHORIZED,False
224,9.33,vehicle,25,car,JK02047007,0.765,,
225,9.38,person,1,,,,AUTHORIZED,False
225,9.38,vehicle,25,car,JK02047007,0.827,,
226,9.42,person,1,,,,AUTHORIZED,False
226,9.42,vehicle,25,car,JK02047007,0.827,,
226,9.42,person,33,,,,UNAUTHORIZED,True
227,9.46,person,1,,,,AUTHORIZED,False
227,9.46,vehicle,25,car,JK02047007,0.827,,
227,9.46,person,33,,,,UNAUTHORIZED,True
228,9.5,person,1,,,,AUTHORIZED,False
228,9.5,vehicle,25,car,JK02047007,0.827,,
228,9.5,person,33,,,,UNAUTHORIZED,True
229,9.54,person,1,,,,AUTHORIZED,False
229,9.54,vehicle,25,car,JK02047007,0.827,,
229,9.54,person,33,,,,UNAUTHORIZED,True
230,9.58,person,1,,,,AUTHORIZED,False
